Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
Distorted Guitar,Sample 0,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Guitar Harmonics,Sample 1,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Drum Loop,Sample 2,UNKNOWN,,,,,,
Guitar Loop,Sample 3,Sonic Foundry/Sounds Good - Methods of Mayhem - Industrial Toolkit,Nasty,Riff 11 32-01,,,,
Synth String,Sample 4,UNKNOWN,,,,,,
Synth String,Sample 5,UNKNOWN,,,,,,
Synth Pad,Sample 6,UNKNOWN,,,,,,
Cymbal Crash,Sample 7,UNKNOWN,,,,,,
Kick,Sample 8,UNKNOWN,,,,,,
Kick,Sample 9,UNKNOWN,,,,,,
Synth Bass,Sample 10,UNKNOWN,,,,,,
Synth Bass,Sample 11,UNKNOWN,,,,,,
Synth Bass,Sample 12,UNKNOWN,,,,,,
Synth Bass,Sample 13,UNKNOWN,,,,,,
Snare,Sample 14,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Snare,Sample 15,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Snare,Sample 16,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Snare,Sample 17,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Snare,Sample 18,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Snare,Sample 19,Sampleheads - Peter Erskine - Living Drums,CHECK,CHECK,,,,
Picked Bass,Sample 20,UNKNOWN,,,,,,
Picked Bass,Sample 21,UNKNOWN,,,,,,
Hi Hat,Sample 22,UNKNOWN,,,,,,
Hi Hat,Sample 23,UNKNOWN,,,,,,
Hi Hat,Sample 24,UNKNOWN,,,,,,
Hi Hat,Sample 25,UNKNOWN,,,,,,
Synth String,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
Piano,Sample 28,UNKNOWN,,,,,,
Piano,Sample 29,UNKNOWN,,,,,,
Piano,Sample 30,UNKNOWN,,,,,,
Piano,Sample 31,UNKNOWN,,,,,,
81. Beyond The Darkness,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Piano,Sample 0,,,,,,,
Piano,Sample 1,,,,,,,
Piano,Sample 2,,,,,,,
Piano,Sample 3,,,,,,,
Piano,Sample 4,,,,,,,
Piano,Sample 5,,,,,,,
Piano,Sample 6,,,,,,,
Piano,Sample 7,,,,,,,
Piano,Sample 8,,,,,,,
Piano,Sample 9,,,,,,,
Piano,Sample 10,,,,,,,
Piano,Sample 11,,,,,,,
Spiccato Strings,Sample 12,,,,,,,
Spiccato Strings,Sample 13,,,,,,,
Spiccato Strings,Sample 14,,,,,,,
Spiccato Strings,Sample 15,,,,,,,
Spiccato Strings,Sample 16,,,,,,,
Spiccato Strings,Sample 17,,,,,,,
Spiccato Strings,Sample 18,,,,,,,
Spiccato Strings,Sample 19,,,,,,,
Spiccato Strings,Sample 20,,,,,,,
Ride Cymbal,Sample 21,,,,,,,
Ride Cymbal,Sample 22,,,,,,,
Snare,Sample 23,,,,,,,
Snare,Sample 24,,,,,,,
Snare,Sample 25,,,,,,,
Snare,Sample 26,,,,,,,
Snare Roll,Sample 27,,,,,,,
Snare Roll,Sample 28,,,,,,,
Spiccato Strings,Sample 29,,,,,,,
Spiccato Strings,Sample 30,,,,,,,
Spiccato Strings,Sample 31,,,,,,,
French Horn,Sample 32,,,,,,,
French Horn,Sample 33,,,,,,,
French Horn,Sample 34,,,,,,,
Synth Pad,Sample 35,,,,,,,
Synth Pad,Sample 36,,,,,,,
Synth Pad,Sample 37,,,,,,,
Synth Pad,Sample 38,,,,,,,
String Ensemble,Sample 39,,,,,,,
String Ensemble,Sample 40,,,,,,,
String Ensemble,Sample 41,,,,,,,
String Ensemble,Sample 42,,,,,,,
String Ensemble,Sample 43,,,,,,,
82. Gloom,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Gamelan,Sample 0,,,,,,,
Gamelan,Sample 1,,,,,,,
Gamelan,Sample 2,,,,,,,
Gamelan,Sample 3,,,,,,,
Gamelan,Sample 4,,,,,,,
Gamelan,Sample 5,,,,,,,
Gamelan,Sample 6,,,,,,,
Gamelan,Sample 7,,,,,,,
Gamelan,Sample 8,,,,,,,
Surdo,Sample 9,,,,,,,
Surdo,Sample 10,,,,,,,
Surdo,Sample 11,,,,,,,
Finger Cymbal,Sample 12,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,,,,
Finger Cymbal,Sample 13,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,,,,
Udu Pot,Sample 14,,,,,,,
Udu Pot,Sample 15,,,,,,,
Udu Pot,Sample 16,,,,,,,
Udu Pot,Sample 17,,,,,,,
Conga,Sample 18,,,,,,,
Conga,Sample 19,,,,,,,
Tambourine,Sample 20,,,,,,,
Tambourine,Sample 21,,,,,,,
Synth Bass,Sample 22,,,,,,,
Synth Bass,Sample 23,,,,,,,
String Ensemble,Sample 24,,,,,,,
String Ensemble,Sample 25,,,,,,,
String Ensemble,Sample 26,,,,,,,
String Ensemble,Sample 27,,,,,,,
83. Hymn - Spira,,,,,,,,
,,,,,,,,
84. The Unsent Laugh,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Fretless Bass,Sample 0,,,,,,,
Fretless Bass,Sample 1,,,,,,,
Fretless Bass,Sample 2,,,,,,,
Synth Bass,Sample 3,,,,,,,
Synth Bass,Sample 4,,,,,,,
Synth Bass,Sample 5,,,,,,,
Synth Bass,Sample 6,,,,,,,
Synth Bass,Sample 7,,,,,,,
Synth Bass,Sample 8,,,,,,,
Synth Bass,Sample 9,,,,,,,
Synth Bass,Sample 10,,,,,,,
Synth Bass,Sample 11,,,,,,,
Triangle,Sample 12,,,,,,,
Triangle,Sample 13,,,,,,,
Tremolo Strings,Sample 14,UNKNOWN,,,,,,
Tremolo Strings,Sample 15,UNKNOWN,,,,,,
Tremolo Strings,Sample 16,UNKNOWN,,,,,,
Tremolo Strings,Sample 17,UNKNOWN,,,,,,
Tremolo Strings,Sample 18,UNKNOWN,,,,,,
Harp,Sample 19,,,,,,,
Harp,Sample 20,,,,,,,
85. Fight With Seymour,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Gong,Sample 0,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,053 Asia,,,,
Gong,Sample 1,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,053 Asia,,,,
Picked Bass,Sample 2,Roland - Sound Canvas SC-8820,,,,,,
Picked Bass,Sample 3,Roland - Sound Canvas SC-8820,,,,,,
Picked Bass,Sample 4,Roland - Sound Canvas SC-8820,,,,,,
Choir,Sample 5,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Choir,Sample 6,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Choir,Sample 7,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Choir,Sample 8,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Choir,Sample 9,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Choir,Sample 10,Roland - Sound Canvas SC-8820,SC-8820 Map,010 053 Church Choir,,,,
Bass & Lead,Sample 11,Roland - Sound Canvas SC-8820,SC-8820 Map,088 000 Bass & Lead,,,,
Bass & Lead,Sample 12,Roland - Sound Canvas SC-8820,SC-8820 Map,000 088 Bass & Lead,Might have a slight low pass filter,,,
Bass & Lead,Sample 13,Roland - Sound Canvas SC-8820,SC-8820 Map,000 088 Bass & Lead,,,,
Bass & Lead,Sample 14,Roland - Sound Canvas SC-8820,SC-8820 Map,000 088 Bass & Lead,,,,
Bass & Lead,Sample 15,Roland - Sound Canvas SC-8820,SC-8820 Map,000 088 Bass & Lead,,,,
Bass & Lead,Sample 16,Roland - Sound Canvas SC-8820,SC-8820 Map,000 088 Bass & Lead,,,,
Saw Wave,Sample 17,Roland - Sound Canvas SC-8820,SC-8820 Map,000 082 Saw Wave,,,,
Saw Wave,Sample 18,Roland - Sound Canvas SC-8820,SC-8820 Map,000 082 Saw Wave,,,,
Square Wave,Sample 19,Roland - Sound Canvas SC-8820,SC-8820 Map,000 081 Square Wave,,,,
Square Wave,Sample 20,Roland - Sound Canvas SC-8820,SC-8820 Map,000 081 Square Wave,,,,
Square Wave,Sample 21,Roland - Sound Canvas SC-8820,SC-8820 Map,000 081 Square Wave,,,,
Square Wave,Sample 22,Roland - Sound Canvas SC-8820,SC-8820 Map,000 081 Square Wave,,,,
Square Wave,Sample 23,Roland - Sound Canvas SC-8820,SC-8820 Map,000 081 Square Wave,,,,
String Ensemble,Sample 24,Roland - Sound Canvas SC-8820,SC-8820 Map,000 049 Strings:,,,,
String Ensemble,Sample 25,Roland - Sound Canvas SC-8820,SC-8820 Map,000 049 Strings:,,,,
String Ensemble,Sample 26,Roland - Sound Canvas SC-8820,SC-8820 Map,000 049 Strings:,,,,
String Ensemble,Sample 27,Roland - Sound Canvas SC-8820,SC-8820 Map,000 049 Strings:,,,,
String Ensemble,Sample 28,Roland - Sound Canvas SC-8820,SC-8820 Map,049 000 Strings:,,,,
String Ensemble,Sample 29,Roland - Sound Canvas SC-8820,SC-8820 Map,000 049 Strings:,,,,
Tom,Sample 30,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,TO DO: Find which keys are sampled,,,
Snare,Sample 31,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,TO DO: Find which keys are sampled,,,
Tom,Sample 32,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Hi Hat,Sample 33,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Tom,Sample 34,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Sel,,,,,
Tom,Sample 35,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Cymbal,Sample 36,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Tom,Sample 37,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Cymbal Crash,Sample 38,Roland - Sound Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
Synth Wave,Sample 39,UNKNOWN,,,,,,
Synth Wave,Sample 40,UNKNOWN,,,,,,
Synth Wave,Sample 41,UNKNOWN,,,,,,
Synth Wave,Sample 42,UNKNOWN,,,,,,
Organ,Sample 43,UNKNOWN,,,,,,
Organ ,Sample 44,UNKNOWN,,,,,,
Organ,Sample 45,UNKNOWN,,,,,,
Organ,Sample 46,UNKNOWN,,,,,,
Organ,Sample 47,UNKNOWN,,,,,,
Synth Brass,Sample 48,UNKNOWN,,,,,,
Synth Brass,Sample 49,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,,,
Synth Brass,Sample 50,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,,,
Synth Brass,Sample 51,Roland - SOUND Canvas SC-8820,SC-8820 Map,,,,,
Bass Drum,Sample 52,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,,,,,
86. Hymn - Anima,,,,,,,,
,,,,,,,,
87. A Contest of Aeons,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Spiccato Strings,Sample 0,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 1,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 2,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 3,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 4,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 5,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 6,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 7,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 8,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 9,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 10,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 11,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 12,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 13,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
French Horn Fifths,Sample 14,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
French Horn Fifths,Sample 15,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
French Horn Fifths,Sample 16,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
French Horn Fifths,Sample 17,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
French Horn Fifths,Sample 18,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
French Horn Fifths,Sample 19,Roland - SC-88Pro,Native Map,061 003 Wide FreHrns,,,,
Timpani,Sample 20,,,,,,,
Timpani,Sample 21,,,,,,,
Timpani,Sample 22,,,,,,,
Timpani,Sample 23,,,,,,,
Timpani,Sample 24,,,,,,,
Tambourine,Sample 25,,,,,,,
Snare,Sample 26,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,,,
Snare,Sample 27,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,,,
Harp,Sample 28,,,,,,,
Harp,Sample 29,,,,,,,
Harp,Sample 30,,,,,,,
String Ensemble,Sample 31,,,,,,,
String Ensemble,Sample 32,,,,,,,
String Ensemble,Sample 33,,,,,,,
String Ensemble,Sample 34,,,,,,,
Spiccato Strings,Sample 35,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 36,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 37,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 38,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 39,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 40,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 41,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 42,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 43,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 44,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 45,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Spiccato Strings,Sample 46,Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
->,(cont),Roland - SR-JV80-02 Orchestral,XP-X,081 STR Marcato1,,,,
Choir,Sample 47,,,,,,,
Choir,Sample 48,,,,,,,
Choir,Sample 49,,,,,,,
Choir,Sample 50,,,,,,,
Cymbal Crash,Sample 51,Best Service - Advanced Orchestra,CD 5 -> Partition A -> 01 CSY HITS,CSY MDFF,,,,
Cymbal Sustain,Sample 52,Best Service - Advanced Orchestra,CHECK,CHECK,,,,
88. Final Battle,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Marimba,Sample 0,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 1,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 2,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 3,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 4,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 5,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 6,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,,
Marimba,Sample 7,UNKNOWN,,,,,,
Timpani,Sample 8,UNKNOWN,,,,,,
Timpani,Sample 9,UNKNOWN,,,,,,
Cymbal Crash,Sample 10,Best Service - Advanced Orchestra,,,,,,
Cymbal Crash,Sample 11,Best Service - Advanced Orchestra,,,,,,
Orchestral Glissando,Sample 12,UNKNOWN,,,,,,
Orchestral Glissando,Sample 13,UNKNOWN,,,,,,
Orchestral Glissando,Sample 14,UNKNOWN,,,,,,
Brass Hit,Sample 15,UNKNOWN,,,,,,
Orchestral Glissando (Fast),Sample 16,UNKNOWN,,,,,,
Orchestral Glissando (Fast),Sample 17,UNKNOWN,,,,,,
Orchestral Glissando,Sample 18,UNKNOWN,,,,,,
Orchestral Glissando,Sample 19,UNKNOWN,,,,,,
Brass Hit (FF),Sample 20,UNKNOWN,,,,,,
Brass Hit (FF),Sample 21,Audio Factory - Classical Wild Takes,Partition E -> VOLUME 001,ORCH CHO P05,Unsure if it's this specific path; also pitched up ~200 cents,,,
String Trill Ensemble,Sample 22,Best Service - Advanced Orchestra,,,,,,
Brass Hit,Sample 23,UNKNOWN,,,,,,
Brass Hit,Sample 24,UNKNOWN,,,,,,
Piano,Sample 25,UNKNOWN,,,,,,
Piano,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
Piano,Sample 28,UNKNOWN,,,,,,
Piano,Sample 29,UNKNOWN,,,,,,
Piano,Sample 30,UNKNOWN,,,,,,
Piano,Sample 31,UNKNOWN,,,,,,
Piano,Sample 32,UNKNOWN,,,,,,
Piano,Sample 33,UNKNOWN,,,,,,
Piano,Sample 34,UNKNOWN,,,,,,
Piano,Sample 35,UNKNOWN,,,,,,
Piano,Sample 36,UNKNOWN,,,,,,
Piano,Sample 37,UNKNOWN,,,,,,
Piano,Sample 38,UNKNOWN,,,,,,
Bass Drum,Sample 39,UNKNOWN,,,,,,
String Ensemble,Sample 40,UNKNOWN,,,,,,
String Ensemble,Sample 41,UNKNOWN,,,,,,
String Ensemble,Sample 42,UNKNOWN,,,,,,
String Ensemble,Sample 43,UNKNOWN,,,,,,
String Ensemble,Sample 44,UNKNOWN,,,,,,
String Ensemble,Sample 45,UNKNOWN,,,,,,
String Ensemble,Sample 46,UNKNOWN,,,,,,
String Ensemble,Sample 47,UNKNOWN,,,,,,
String Ensemble,Sample 48,UNKNOWN,,,,,,
String Ensemble,Sample 49,UNKNOWN,,,,,,
String Stacc,Sample 50,Best Service - Advanced Orchestra,,,TO DO: See Note,,,
String Stacc,Sample 51,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 52,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 53,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 54,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 55,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 56,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 57,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 58,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 59,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 60,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 61,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 62,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 63,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 64,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 65,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 66,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 67,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 68,Best Service - Advanced Orchestra,,,,,,
String Stacc,Sample 69,Best Service - Advanced Orchestra,,,,,,
Trombone Ensemble,Sample 70,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 71,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 72,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 73,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 74,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 75,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
Trombone Ensemble,Sample 76,Best Service - Advanced Orchestra,CD 4 -> Partition D -> 01 TB LONG FF,TB LONG FF,,,,
89. Ending Theme,,,,,,,,
(Arranged by Shiro Hamaguchi),,,,,,,,
Strings,---,Live Recording (Masatsugu Shinozaki Group),,,,,,
Flute,---,,,,,,,
Oboe,---,,,,,,,
Bassoon,---,,,,,,,
,---,,,,,,,
,---,,,,,,,
,---,,,,,,,
"90. ""Omoidashitekudasai""",,,,,,,,
Voice,---,Live Recording (Mayuko Aoki),,,,,,
91. Suteki Da Ne Orchestra Version,,,,,,,,
(Arranged by Shiro Hamaguchi),,,,,,,,
Vocals,---,Live Recording (RIKKI),,,,,,
There may be more instruments in the tracks that we aren't aware of. ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Section 2 - X/X-2 HD Remaster Soundtrack,,,,,,,,
,,,,,,,,
3. Prelude,,,,,,,,
,,,,,,,,
4. Tidus's Theme,,,,,,,,
Violin Ensemble,,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Stage mics,,,
Viola Ensemble,,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,Stage mics,,,
Cello Ensemble,,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Stage mics,,,
French Horn,,EastWest - Symphonic Orchestra,Brass -> Solo French Horn -> 5 Keysw,SFH KS Master,Stage mics,,,
Trumpet Ensemble,,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,Stage mics,,,
Acoustic Guitar,,Live Recording (Toru Tabei),,,,,,
6. Run!!,,,,,,,,
,,,,,,,,
7. This Is Your Story,,,,,,,,
,,,,,,,,
8. Creep,,,,,,,,
,,,,,,,,
9. Battle Theme,,,,,,,,
Trumpet Ensemble,,EastWest - Symphonic Orchestra,,,,,,
